00007FFDC1D29D40 Export 329  EnumResourceLanguagesExA
00007FFDC1D29D60 Export 330  EnumResourceLanguagesExW
00007FFDC1D27D00 Export 331  EnumResourceLanguagesW
00007FFDC1D27D40 Export 332  EnumResourceNamesA
00007FFDC1D29D80 Export 333  EnumResourceNamesExA
00007FFDC1D29DA0 Export 334  EnumResourceNamesExW
00007FFDC1D15010 Export 335  EnumResourceNamesW
00007FFDC1D27D70 Export 336  EnumResourceTypesA
00007FFDC1D29DC0 Export 337  EnumResourceTypesExA
00007FFDC1D29DE0 Export 338  EnumResourceTypesExW
00007FFDC1D27DA0 Export 339  EnumResourceTypesW
00007FFDC1D3A550 Export 340  EnumSystemCodePagesA
00007FFDC1D29E00 Export 341  EnumSystemCodePagesW
00007FFDC1D27AA0 Export 342  EnumSystemFirmwareTables
00007FFDC1D43550 Export 343  EnumSystemGeoID
00007FFDC1D43640 Export 344  EnumSystemGeoNames
00007FFDC1D3A570 Export 345  EnumSystemLanguageGroupsA
00007FFDC1D29E20 Export 346  EnumSystemLanguageGroupsW
00007FFDC1D29E40 Export 347  EnumSystemLocalesA
00007FFDC1D29E60 Export 348  EnumSystemLocalesEx
00007FFDC1D29E80 Export 349  EnumSystemLocalesW
00007FFDC1D3A590 Export 350  EnumTimeFormatsA
00007FFDC1D10440 Export 351  EnumTimeFormatsEx
00007FFDC1D29EA0 Export 352  EnumTimeFormatsW
00007FFDC1D3A610 Export 353  EnumUILanguagesA
00007FFDC1D29EC0 Export 354  EnumUILanguagesW
00007FFDC1D4A330 Export 355  EnumerateLocalComputerNamesA
00007FFDC1D4A460 Export 356  EnumerateLocalComputerNamesW
00007FFDC1D325E0 Export 357  EraseTape
00007FFDC1D150B0 Export 358  EscapeCommFunction
00007FFDC1D313A0 Export 359  ExecuteUmsThread
00007FFDC1D0E0A0 Export 360  ExitProcess
00007FFDC1D8F4A0 Export 361  ExitThread
00007FFDC1D2FC60 Export 362  ExitVDM
00007FFDC1D12250 Export 363  ExpandEnvironmentStringsA
00007FFDC1D0B790 Export 364  ExpandEnvironmentStringsW
00007FFDC1D15660 Export 365  ExpungeConsoleCommandHistoryA
00007FFDC1D15670 Export 366  ExpungeConsoleCommandHistoryW
00007FFDC1D29EE0 Export 367  FatalAppExitA
00007FFDC1D29F00 Export 368  FatalAppExitW
00007FFDC1D0E0A0 Export 369  FatalExit
00007FFDC1D02D30 Export 370  FileTimeToDosDateTime
00007FFDC1D14BB0 Export 371  FileTimeToLocalFileTime
00007FFDC1D15050 Export 372  FileTimeToSystemTime
00007FFDC1D153E0 Export 373  FillConsoleOutputAttribute
00007FFDC1D153F0 Export 374  FillConsoleOutputCharacterA
00007FFDC1D15400 Export 375  FillConsoleOutputCharacterW
00007FFDC1D0BC90 Export 376  FindActCtxSectionGuid
00007FFDC1D02F90 Export 377  FindActCtxSectionGuidWorker
00007FFDC1D557C0 Export 378  FindActCtxSectionStringA
00007FFDC1D11100 Export 379  FindActCtxSectionStringW
00007FFDC1D032B0 Export 380  FindActCtxSectionStringWWorker
00007FFDC1D05240 Export 381  FindAtomA
00007FFDC1D02D10 Export 382  FindAtomW
00007FFDC1D14BC0 Export 383  FindClose
00007FFDC1D14BD0 Export 384  FindCloseChangeNotification
00007FFDC1D14BE0 Export 385  FindFirstChangeNotificationA
00007FFDC1D14BF0 Export 386  FindFirstChangeNotificationW
00007FFDC1D14C00 Export 387  FindFirstFileA
00007FFDC1D14C10 Export 388  FindFirstFileExA
00007FFDC1D14C20 Export 389  FindFirstFileExW
00007FFDC1D26EE0 Export 390  FindFirstFileNameTransactedW
00007FFDC1D14C30 Export 391  FindFirstFileNameW
00007FFDC1D26FC0 Export 392  FindFirstFileTransactedA
00007FFDC1D55860 Export 393  FindFirstFileTransactedW
00007FFDC1D14C40 Export 394  FindFirstFileW
00007FFDC1D270B0 Export 395  FindFirstStreamTransactedW
00007FFDC1D8F7B1 Export 396  FindFirstStreamW
00007FFDC1D54080 Export 397  FindFirstVolumeA
00007FFDC1D54220 Export 398  FindFirstVolumeMountPointA
00007FFDC1D54410 Export 399  FindFirstVolumeMountPointW
00007FFDC1D14C50 Export 400  FindFirstVolumeW
00007FFDC1D29F20 Export 401  FindNLSString
00007FFDC1D05830 Export 402  FindNLSStringEx
00007FFDC1D14C60 Export 403  FindNextChangeNotification
00007FFDC1D14C70 Export 404  FindNextFileA
00007FFDC1D14C80 Export 405  FindNextFileNameW
00007FFDC1D14C90 Export 406  FindNextFileW
00007FFDC1D8F8AD Export 407  FindNextStreamW
00007FFDC1D546A0 Export 408  FindNextVolumeA
00007FFDC1D54840 Export 409  FindNextVolumeMountPointA
00007FFDC1D54F30 Export 410  FindNextVolumeMountPointW
00007FFDC1D14CA0 Export 411  FindNextVolumeW
00007FFDC1D8F949 Export 412  FindPackagesByPackageFamily
00007FFDC1D03530 Export 413  FindResourceA
00007FFDC1D03550 Export 414  FindResourceExA
00007FFDC1D0B380 Export 415  FindResourceExW
00007FFDC1D10230 Export 416  FindResourceW
00007FFDC1D29F40 Export 417  FindStringOrdinal
00007FFDC1D14CB0 Export 418  FindVolumeClose
00007FFDC1D54F40 Export 419  FindVolumeMountPointClose
00007FFDC1D101D0 Export 420  FlsAlloc
00007FFDC1D10B10 Export 421  FlsFree
00007FFDC1D084E0 Export 422  FlsGetValue
00007FFDC1D0C2D0 Export 423  FlsSetValue
00007FFDC1D15410 Export 424  FlushConsoleInputBuffer
00007FFDC1D14CC0 Export 425  FlushFileBuffers
00007FFDC1D0AE80 Export 426  FlushInstructionCache
